City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.79,-56.15,29.05,88,50,7.25,GL,1600517975
1,yar-sale,66.83,70.83,47.86,62,63,3.42,RU,1600517975
2,mataura,-46.19,168.86,46.0,88,22,3.0,NZ,1600517976
3,qaqortoq,60.72,-46.03,39.2,55,75,5.82,GL,1600517976
4,la ronge,55.1,-105.28,41.0,93,5,4.68,CA,1600517976
5,inhambane,-23.86,35.38,82.4,69,0,11.41,MZ,1600517976
6,rikitea,-23.12,-134.97,72.28,83,54,21.23,PF,1600517976
7,qaanaaq,77.48,-69.36,13.26,77,0,9.42,GL,1600517724
8,byron bay,-28.65,153.62,63.0,88,40,6.24,AU,1600517757
9,nanortalik,60.14,-45.24,39.56,88,79,10.6,GL,1600517977
10,kapaa,22.08,-159.32,80.6,78,1,16.11,US,1600517977
11,los andes,-32.83,-70.6,61.0,81,0,2.24,CL,1600517977
12,atuona,-9.8,-139.03,77.13,72,10,18.16,PF,1600517977
13,yulara,-25.24,130.99,71.6,12,0,5.82,AU,1600517977
14,shahrud,36.42,54.98,84.69,14,0,1.34,IR,1600517977
15,abha,18.22,42.51,86.0,9,20,16.11,SA,1600517971
16,dali,25.7,100.18,63.75,80,69,3.24,CN,1600517978
17,nikolskoye,59.7,30.79,55.4,58,40,17.9,RU,1600517978
18,bredasdorp,-34.53,20.04,66.2,45,39,4.7,ZA,1600517978
19,honiara,-9.43,159.95,75.2,100,40,3.36,SB,1600517978
20,hilo,19.73,-155.09,73.4,69,75,6.93,US,1600517962
21,chapais,49.78,-74.85,32.0,96,90,3.36,CA,1600517862
22,port macquarie,-31.43,152.92,64.99,88,100,1.99,AU,1600517729
23,puerto ayora,-0.74,-90.35,65.52,90,99,8.32,EC,1600517978
24,mehamn,71.04,27.85,45.32,78,95,27.76,NO,1600517978
25,vysokogornyy,50.12,139.15,42.66,89,99,5.82,RU,1600517979
26,moose factory,51.26,-80.61,28.4,100,1,3.36,CA,1600517979
27,punta arenas,-53.15,-70.92,41.0,73,74,25.28,CL,1600517979
28,venado tuerto,-33.75,-61.97,54.0,50,0,23.0,AR,1600517979
29,isangel,-19.55,169.27,70.16,73,32,13.09,VU,1600517979
30,esperance,-33.87,121.9,53.6,93,90,19.46,AU,1600517979
31,teya,60.38,92.63,45.91,85,100,8.46,RU,1600517979
32,longyearbyen,78.22,15.64,39.2,91,75,5.82,SJ,1600517980
33,port elizabeth,-33.92,25.57,66.2,52,20,10.29,ZA,1600517967
34,pacific grove,36.62,-121.92,59.0,92,0,3.83,US,1600517980
35,carnarvon,-24.87,113.63,68.0,68,90,23.04,AU,1600517931
36,coquimbo,-29.95,-71.34,51.8,100,90,3.36,CL,1600517863
37,normandin,48.83,-72.53,39.2,80,75,8.05,CA,1600517980
38,bluff,-46.6,168.33,46.0,88,7,3.0,NZ,1600517980
39,albany,42.6,-73.97,44.01,85,0,1.01,US,1600517980
40,majholi,23.5,79.92,84.2,74,75,6.93,IN,1600517981
41,narsaq,60.92,-46.05,39.2,55,75,5.82,GL,1600517981
42,port alfred,-33.59,26.89,65.82,61,35,11.21,ZA,1600517981
43,belmonte,-15.86,-38.88,75.2,73,40,4.7,BR,1600517981
44,cidreira,-30.18,-50.21,65.52,82,1,8.37,BR,1600517981
45,yellowknife,62.46,-114.35,46.0,100,20,8.05,CA,1600517981
46,wasilla,61.58,-149.44,44.6,81,75,3.36,US,1600517981
47,mahebourg,-20.41,57.7,75.2,57,75,17.22,MU,1600517982
48,kudahuvadhoo,2.67,72.89,83.48,77,75,11.03,MV,1600517982
49,hayden,47.77,-116.79,57.99,82,1,4.7,US,1600517982
50,tuktoyaktuk,69.45,-133.04,44.26,79,100,14.34,CA,1600517982
51,katsuura,35.13,140.3,75.0,81,100,1.01,JP,1600517982
52,saint george,37.1,-113.58,75.2,17,1,11.41,US,1600517982
53,lydenburg,-25.1,30.46,86.0,2,21,1.99,ZA,1600517982
54,dalby,-27.18,151.27,60.01,81,100,4.0,AU,1600517983
55,nago,26.59,127.98,82.4,88,1,4.7,JP,1600517983
56,revda,56.8,59.93,62.6,45,100,8.95,RU,1600517983
57,williston,48.15,-103.62,51.01,87,83,8.28,US,1600517983
58,avarua,-21.21,-159.78,75.2,94,62,17.22,CK,1600517983
59,vaini,-21.2,-175.2,71.6,88,75,6.93,TO,1600517983
60,sandpoint,48.28,-116.55,59.0,77,40,3.36,US,1600517983
61,new norfolk,-42.78,147.06,55.0,83,21,2.59,AU,1600517983
62,khatanga,71.97,102.5,49.28,60,63,3.87,RU,1600517984
63,kenai,60.55,-151.26,48.99,70,1,14.99,US,1600517984
64,warmbad,-28.45,18.73,84.58,13,0,4.05,NA,1600517984
65,ilulissat,69.22,-51.1,33.8,86,90,11.41,GL,1600517984
66,pochutla,15.74,-96.47,73.99,86,100,3.2,MX,1600517984
67,maragogi,-9.01,-35.22,78.26,75,7,9.19,BR,1600517984
68,lorengau,-2.02,147.27,81.61,78,22,8.01,PG,1600517985
69,shahr-e kord,32.33,50.86,84.2,7,0,4.7,IR,1600517985
70,zunheboto,25.97,94.52,69.96,92,52,1.19,IN,1600517985
71,geraldton,-28.77,114.6,60.8,55,40,17.22,AU,1600517985
72,piacabucu,-10.41,-36.43,79.75,66,4,7.0,BR,1600517985
73,lompoc,34.64,-120.46,55.4,100,90,6.93,US,1600517985
74,bintulu,3.17,113.03,82.4,94,40,5.82,MY,1600517985
75,iroquois falls,48.77,-80.68,30.2,92,75,4.7,CA,1600517985
76,grand gaube,-20.01,57.66,71.01,76,48,11.99,MU,1600517986
77,muli,2.92,73.57,83.07,77,83,12.08,MV,1600517986
